,Idade,Classe,Sexo,Sobreviveu,Família,Prioritário
0,22.0,3,masculino,morto,1,Não Prioritário
1,38.0,1,feminino,sobrevivente,1,Prioritário
2,26.0,3,feminino,sobrevivente,0,Prioritário
3,35.0,1,feminino,sobrevivente,1,Prioritário
4,35.0,3,masculino,morto,0,Não Prioritário
5,0.0,3,masculino,morto,0,Não Prioritário
6,54.0,1,masculino,morto,0,Não Prioritário
7,2.0,3,masculino,morto,4,Prioritário
8,27.0,3,feminino,sobrevivente,2,Prioritário
9,14.0,2,feminino,sobrevivente,1,Prioritário
10,4.0,3,feminino,sobrevivente,2,Prioritário
11,58.0,1,feminino,sobrevivente,0,Prioritário
12,20.0,3,masculino,morto,0,Não Prioritário
13,39.0,3,masculino,morto,6,Não Prioritário
14,14.0,3,feminino,morto,0,Prioritário
15,55.0,2,feminino,sobrevivente,0,Prioritário
16,2.0,3,masculino,morto,5,Prioritário
17,0.0,2,masculino,sobrevivente,0,Não Prioritário
18,31.0,3,feminino,morto,1,Prioritário
19,0.0,3,feminino,sobrevivente,0,Prioritário
20,35.0,2,masculino,morto,0,Não Prioritário
21,34.0,2,masculino,sobrevivente,0,Não Prioritário
22,15.0,3,feminino,sobrevivente,0,Prioritário
23,28.0,1,masculino,sobrevivente,0,Não Prioritário
24,8.0,3,feminino,morto,4,Prioritário
25,38.0,3,feminino,sobrevivente,6,Prioritário
26,0.0,3,masculino,morto,0,Não Prioritário
27,19.0,1,masculino,morto,5,Não Prioritário
28,0.0,3,feminino,sobrevivente,0,Prioritário
29,0.0,3,masculino,morto,0,Não Prioritário
30,40.0,1,masculino,morto,0,Não Prioritário
31,0.0,1,feminino,sobrevivente,1,Prioritário
32,0.0,3,feminino,sobrevivente,0,Prioritário
33,66.0,2,masculino,morto,0,Não Prioritário
34,28.0,1,masculino,morto,1,Não Prioritário
35,42.0,1,masculino,morto,1,Não Prioritário
36,0.0,3,masculino,sobrevivente,0,Não Prioritário
37,21.0,3,masculino,morto,0,Não Prioritário
38,18.0,3,feminino,morto,2,Prioritário
39,14.0,3,feminino,sobrevivente,1,Prioritário
40,40.0,3,feminino,morto,1,Prioritário
41,27.0,2,feminino,morto,1,Prioritário
42,0.0,3,masculino,morto,0,Não Prioritário
43,3.0,2,feminino,sobrevivente,3,Prioritário
44,19.0,3,feminino,sobrevivente,0,Prioritário
45,0.0,3,masculino,morto,0,Não Prioritário
46,0.0,3,masculino,morto,1,Não Prioritário
47,0.0,3,feminino,sobrevivente,0,Prioritário
48,0.0,3,masculino,morto,2,Não Prioritário
49,18.0,3,feminino,morto,1,Prioritário
50,7.0,3,masculino,morto,5,Prioritário
51,21.0,3,masculino,morto,0,Não Prioritário
52,49.0,1,feminino,sobrevivente,1,Prioritário
53,29.0,2,feminino,sobrevivente,1,Prioritário
54,65.0,1,masculino,morto,1,Não Prioritário
55,0.0,1,masculino,sobrevivente,0,Não Prioritário
56,21.0,2,feminino,sobrevivente,0,Prioritário
57,28.5,3,masculino,morto,0,Não Prioritário
58,5.0,2,feminino,sobrevivente,3,Prioritário
59,11.0,3,masculino,morto,7,Prioritário
60,22.0,3,masculino,morto,0,Não Prioritário
61,38.0,1,feminino,sobrevivente,0,Prioritário
62,45.0,1,masculino,morto,1,Não Prioritário
63,4.0,3,masculino,morto,5,Prioritário
64,0.0,1,masculino,morto,0,Não Prioritário
65,0.0,3,masculino,sobrevivente,2,Não Prioritário
66,29.0,2,feminino,sobrevivente,0,Prioritário
67,19.0,3,masculino,morto,0,Não Prioritário
68,17.0,3,feminino,sobrevivente,6,Prioritário
69,26.0,3,masculino,morto,2,Não Prioritário
70,32.0,2,masculino,morto,0,Não Prioritário
71,16.0,3,feminino,morto,7,Prioritário
72,21.0,2,masculino,morto,0,Não Prioritário
73,26.0,3,masculino,morto,1,Não Prioritário
74,32.0,3,masculino,sobrevivente,0,Não Prioritário
75,25.0,3,masculino,morto,0,Não Prioritário
76,0.0,3,masculino,morto,0,Não Prioritário
77,0.0,3,masculino,morto,0,Não Prioritário
78,0.83,2,masculino,sobrevivente,2,Prioritário
79,30.0,3,feminino,sobrevivente,0,Prioritário
80,22.0,3,masculino,morto,0,Não Prioritário
81,29.0,3,masculino,sobrevivente,0,Não Prioritário
82,0.0,3,feminino,sobrevivente,0,Prioritário
83,28.0,1,masculino,morto,0,Não Prioritário
84,17.0,2,feminino,sobrevivente,0,Prioritário
85,33.0,3,feminino,sobrevivente,3,Prioritário
86,16.0,3,masculino,morto,4,Não Prioritário
87,0.0,3,masculino,morto,0,Não Prioritário
88,23.0,1,feminino,sobrevivente,5,Prioritário
89,24.0,3,masculino,morto,0,Não Prioritário
90,29.0,3,masculino,morto,0,Não Prioritário
91,20.0,3,masculino,morto,0,Não Prioritário
92,46.0,1,masculino,morto,1,Não Prioritário
93,26.0,3,masculino,morto,3,Não Prioritário
94,59.0,3,masculino,morto,0,Não Prioritário
95,0.0,3,masculino,morto,0,Não Prioritário
96,71.0,1,masculino,morto,0,Não Prioritário
97,23.0,1,masculino,sobrevivente,1,Não Prioritário
98,34.0,2,feminino,sobrevivente,1,Prioritário
99,34.0,2,masculino,morto,1,Não Prioritário
100,28.0,3,feminino,morto,0,Prioritário
101,0.0,3,masculino,morto,0,Não Prioritário
102,21.0,1,masculino,morto,1,Não Prioritário
103,33.0,3,masculino,morto,0,Não Prioritário
104,37.0,3,masculino,morto,2,Não Prioritário
105,28.0,3,masculino,morto,0,Não Prioritário
106,21.0,3,feminino,sobrevivente,0,Prioritário
107,0.0,3,masculino,sobrevivente,0,Não Prioritário
108,38.0,3,masculino,morto,0,Não Prioritário
109,0.0,3,feminino,sobrevivente,1,Prioritário
110,47.0,1,masculino,morto,0,Não Prioritário
111,14.5,3,feminino,morto,1,Prioritário
112,22.0,3,masculino,morto,0,Não Prioritário
113,20.0,3,feminino,morto,1,Prioritário
114,17.0,3,feminino,morto,0,Prioritário
115,21.0,3,masculino,morto,0,Não Prioritário
116,70.5,3,masculino,morto,0,Não Prioritário
117,29.0,2,masculino,morto,1,Não Prioritário
118,24.0,1,masculino,morto,1,Não Prioritário
119,2.0,3,feminino,morto,6,Prioritário
120,21.0,2,masculino,morto,2,Não Prioritário
121,0.0,3,masculino,morto,0,Não Prioritário
122,32.5,2,masculino,morto,1,Não Prioritário
123,32.5,2,feminino,sobrevivente,0,Prioritário
124,54.0,1,masculino,morto,1,Não Prioritário
125,12.0,3,masculino,sobrevivente,1,Prioritário
126,0.0,3,masculino,morto,0,Não Prioritário
127,24.0,3,masculino,sobrevivente,0,Não Prioritário
128,0.0,3,feminino,sobrevivente,2,Prioritário
129,45.0,3,masculino,morto,0,Não Prioritário
130,33.0,3,masculino,morto,0,Não Prioritário
131,20.0,3,masculino,morto,0,Não Prioritário
132,47.0,3,feminino,morto,1,Prioritário
133,29.0,2,feminino,sobrevivente,1,Prioritário
134,25.0,2,masculino,morto,0,Não Prioritário
135,23.0,2,masculino,morto,0,Não Prioritário
136,19.0,1,feminino,sobrevivente,2,Prioritário
137,37.0,1,masculino,morto,1,Não Prioritário
138,16.0,3,masculino,morto,0,Não Prioritário
139,24.0,1,masculino,morto,0,Não Prioritário
140,0.0,3,feminino,morto,2,Prioritário
141,22.0,3,feminino,sobrevivente,0,Prioritário
142,24.0,3,feminino,sobrevivente,1,Prioritário
143,19.0,3,masculino,morto,0,Não Prioritário
144,18.0,2,masculino,morto,0,Não Prioritário
145,19.0,2,masculino,morto,2,Não Prioritário
146,27.0,3,masculino,sobrevivente,0,Não Prioritário
147,9.0,3,feminino,morto,4,Prioritário
148,36.5,2,masculino,morto,2,Não Prioritário
149,42.0,2,masculino,morto,0,Não Prioritário
150,51.0,2,masculino,morto,0,Não Prioritário
151,22.0,1,feminino,sobrevivente,1,Prioritário
152,55.5,3,masculino,morto,0,Não Prioritário
153,40.5,3,masculino,morto,2,Não Prioritário
154,0.0,3,masculino,morto,0,Não Prioritário
155,51.0,1,masculino,morto,1,Não Prioritário
156,16.0,3,feminino,sobrevivente,0,Prioritário
157,30.0,3,masculino,morto,0,Não Prioritário
158,0.0,3,masculino,morto,0,Não Prioritário
159,0.0,3,masculino,morto,10,Não Prioritário
160,44.0,3,masculino,morto,1,Não Prioritário
161,40.0,2,feminino,sobrevivente,0,Prioritário
162,26.0,3,masculino,morto,0,Não Prioritário
163,17.0,3,masculino,morto,0,Não Prioritário
164,1.0,3,masculino,morto,5,Prioritário
165,9.0,3,masculino,sobrevivente,2,Prioritário
166,0.0,1,feminino,sobrevivente,1,Prioritário
167,45.0,3,feminino,morto,5,Prioritário
168,0.0,1,masculino,morto,0,Não Prioritário
169,28.0,3,masculino,morto,0,Não Prioritário
170,61.0,1,masculino,morto,0,Não Prioritário
171,4.0,3,masculino,morto,5,Prioritário
172,1.0,3,feminino,sobrevivente,2,Prioritário
173,21.0,3,masculino,morto,0,Não Prioritário
174,56.0,1,masculino,morto,0,Não Prioritário
175,18.0,3,masculino,morto,2,Não Prioritário
176,0.0,3,masculino,morto,4,Não Prioritário
177,50.0,1,feminino,morto,0,Prioritário
178,30.0,2,masculino,morto,0,Não Prioritário
179,36.0,3,masculino,morto,0,Não Prioritário
180,0.0,3,feminino,morto,10,Prioritário
181,0.0,2,masculino,morto,0,Não Prioritário
182,9.0,3,masculino,morto,6,Prioritário
183,1.0,2,masculino,sobrevivente,3,Prioritário
184,4.0,3,feminino,sobrevivente,2,Prioritário
185,0.0,1,masculino,morto,0,Não Prioritário
186,0.0,3,feminino,sobrevivente,1,Prioritário
187,45.0,1,masculino,sobrevivente,0,Não Prioritário
188,40.0,3,masculino,morto,2,Não Prioritário
189,36.0,3,masculino,morto,0,Não Prioritário
190,32.0,2,feminino,sobrevivente,0,Prioritário
191,19.0,2,masculino,morto,0,Não Prioritário
192,19.0,3,feminino,sobrevivente,1,Prioritário
193,3.0,2,masculino,sobrevivente,2,Prioritário
194,44.0,1,feminino,sobrevivente,0,Prioritário
